x,y,z,x_quat,y_quat,z_quat,w_quat
89632.2488,43130.747,0.0,0.0,0.0,0.9378850149044763,0.34694624773533755
89632.0488,43130.947,0.0,0.0,0.0,0.9522955085498538,0.305177431006579
89631.8488,43131.147,0.0,0.0,0.0,0.9522955085498538,0.305177431006579
89631.6488,43131.347,0.0,0.0,0.0,0.9664996487647414,0.25666793515675373
89631.4488,43131.547,0.0,0.0,0.0,0.9795777228014658,0.2010658722685045
89631.2488,43131.547,0.0,0.0,0.0,0.9664996487642387,0.256667935158647
89631.0488,43131.747,0.0,0.0,0.0,0.9795777228018442,0.20106587226666134
89630.8488,43131.947,0.0,0.0,0.0,0.9795777228018442,0.20106587226666134
89630.6488,43131.947,0.0,0.0,0.0,0.9795777228014658,0.2010658722685045
89630.4488,43132.147,0.0,0.0,0.0,0.9795777228010244,0.20106587227065503
89630.2488,43132.147,0.0,0.0,0.0,0.9795777228010244,0.20106587227065503
89630.0488,43132.147,0.0,0.0,0.0,0.9795777228014028,0.20106587226881184
89629.8488,43132.347,0.0,0.0,0.0,0.9795777228018442,0.20106587226666134
89629.6488,43132.347,0.0,0.0,0.0,0.9664996487647414,0.25666793515675373
89629.4488,43132.547,0.0,0.0,0.0,0.9795777228014658,0.2010658722685045
89629.2488,43132.547,0.0,0.0,0.0,0.9664996487642387,0.256667935158647
89629.0488,43132.747,0.0,0.0,0.0,0.966499648765316,0.2566679351545901
89628.8488,43132.747,0.0,0.0,0.0,0.9522955085498538,0.305177431006579
89628.6488,43132.747,0.0,0.0,0.0,0.9378850149044763,0.34694624773533755
89628.4488,43132.947,0.0,0.0,0.0,0.9378850149044763,0.34694624773533755
89628.2488,43133.147,0.0,0.0,0.0,0.9238795325107068,0.3826834323664901
89628.0488,43133.147,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.8488,43133.347,0.0,0.0,0.0,0.8891676427194976,0.457581580858159
89627.6488,43133.547,0.0,0.0,0.0,0.8649100931169096,0.5019268181961378
